CHEBI16189_sulfate|CHEBI4439_dermatan|CHEBI18085_glycosaminoglycan|
CHEBI16714_codeine|CHEBI46195_paracetamol|CHEBI5855_ibuprofen|
CHEBI25106_macrolide|CHEBI2955_azithromycin|CHEBI3732_clarithromycin|
CHEBI80126_x-206|CHEBI46774_polyether|CHEBI24869_ionophore|
CHEBI9574_thrombin|CHEBI16670_peptide|CHEBI48433_angiotensin|
CHEBI9574_thrombin|CHEBI17822_serine|CHEBI48433_angiotensin|
CHEBI9574_thrombin|CHEBI35143_hemoglobin|CHEBI48433_angiotensin|
CHEBI9574_thrombin|CHEBI50249_anticoagulant|CHEBI48433_angiotensin|
CHEBI9574_thrombin|CHEBI50249_anticoagulant|CHEBI80551_apc|
CHEBI63580_ribavirin|CHEBI2955_azithromycin|CHEBI7798_oseltamivir|
CHEBI63580_ribavirin|CHEBI2955_azithromycin|CHEBI33229_vitamin|
CHEBI63580_ribavirin|CHEBI131189_glass|CHEBI7798_oseltamivir|
CHEBI63580_ribavirin|CHEBI131189_glass|CHEBI24996_lactate|
CHEBI63580_ribavirin|CHEBI36976_nucleotide|CHEBI85083_sofosbuvir|
CHEBI63580_ribavirin|CHEBI17154_nicotinamide|CHEBI33229_vitamin|
CHEBI63580_ribavirin|CHEBI24996_lactate|CHEBI33229_vitamin|
CHEBI15355_acetylcholine|CHEBI17996_chloride|CHEBI251408_edrophonium|
CHEBI15355_acetylcholine|CHEBI17996_chloride|CHEBI59132_antigen|
CHEBI26519_radical|CHEBI24621_hormone|CHEBI16796_melatonin|
CHEBI26519_radical|CHEBI16301_nitrite|CHEBI17632_nitrate|
CHEBI30089_acetate|CHEBI82594_ferritin|CHEBI35341_steroid|
CHEBI50846_immunomodulator|CHEBI16335_adenosine|CHEBI7986_pentoxifylline|
CHEBI17822_serine|CHEBI15356_cysteine|CHEBI16856_glutathione|
CHEBI17822_serine|CHEBI17089_glycoprotein|CHEBI48343_disulfide|
CHEBI17822_serine|CHEBI17089_glycoprotein|CHEBI29309_methyl|
CHEBI17822_serine|CHEBI50858_corticosteroid|CHEBI48433_angiotensin|
CHEBI17822_serine|CHEBI50113_androgen|CHEBI17347_testosterone|
CHEBI17822_serine|CHEBI29309_methyl|CHEBI36976_nucleotide|
CHEBI17822_serine|CHEBI36976_nucleotide|CHEBI17891_donor|
CHEBI17822_serine|CHEBI48343_disulfide|CHEBI16856_glutathione|
CHEBI17822_serine|CHEBI135466_nafamostat|CHEBI28304_heparin|
CHEBI17822_serine|CHEBI28304_heparin|CHEBI33229_vitamin|
CHEBI7496_nelfinavir|CHEBI74716_withanolide|CHEBI28527_rutin|
CHEBI35143_hemoglobin|CHEBI5206_ga|CHEBI50858_corticosteroid|
CHEBI35143_hemoglobin|CHEBI24996_lactate|CHEBI15035_retinal|
CHEBI59062_polymyxin|CHEBI36976_nucleotide|CHEBI52214_ligand|
CHEBI6402_leflunomide|CHEBI44185_methotrexate|CHEBI35341_steroid|
CHEBI48705_agonist|CHEBI48433_angiotensin|CHEBI3638_chloroquine|
