Rank,Title,Interventions,URL
1,Dexamethasone for COVID-19,Drug: Dexamethasone,https://ClinicalTrials.gov/show/NCT04707534
2,Duvelisib to Combat COVID-19,Drug: Duvelisib|Procedure: Peripheral blood draw|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04372602
3,Immune Modulators for Treating COVID-19,Drug: Infliximab|Drug: Abatacept|Drug: Remdesivir|Drug: cenicriviroc,https://ClinicalTrials.gov/show/NCT04593940
4,Ivermectin Nasal Spray for COVID19 Patients,Drug: Ivermectin nasal|Drug: Ivermectin oral|Other: standard care,https://ClinicalTrials.gov/show/NCT04510233
5,Observational Cohort of COVID-19 Patients at Raymond-Poincare,,https://ClinicalTrials.gov/show/NCT04364698
6,Relationship Between CT- Value With Prognosis in COVID-19 Patients,Diagnostic Test: Cycle threshold,https://ClinicalTrials.gov/show/NCT04902157
7,COVID 19 Serology in Pulmonologists,,https://ClinicalTrials.gov/show/NCT04422574
8,Fugal Infection in COVID-19 Patients,Other: no intervention,https://ClinicalTrials.gov/show/NCT04914013
9,Decitabine for Coronavirus (COVID-19) Pneumonia- Acute Respiratory Distress Syndrome (ARDS) Treatment: DART Trial,Drug: Decitabine|Other: Placebo Saline,https://ClinicalTrials.gov/show/NCT04482621
10,"Pilot Trial of XFBD, a TCM, in Persons With COVID-19",Drug: Xuanfei Baidu Granules|Other: Placebo,https://ClinicalTrials.gov/show/NCT04810689
11,Study of Intravenous COVI-MSC for Treatment of COVID-19-Induced Acute Respiratory Distress,Biological: COVI-MSC|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04903327
12,COVID-19 Surveillance Based on Smart Wearable Device,,https://ClinicalTrials.gov/show/NCT04459637
13,A Phase 2 Trial of Infliximab in Coronavirus Disease 2019 (COVID-19).,Drug: Infliximab,https://ClinicalTrials.gov/show/NCT04425538
14,Study of Allogeneic Adipose-Derived Mesenchymal Stem Cells for Treatment of COVID-19 Acute Respiratory Distress,Biological: COVI-MSC|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04905836
15,Effect of COVID-19 Pandemic on Pediatric Cancer Care,,https://ClinicalTrials.gov/show/NCT04374838
16,Safety & Performance Evaluation of Seraph 100 in Treatment of Pts With COVID-19,Device: Seraph 100,https://ClinicalTrials.gov/show/NCT04547257
17,Forecast Number of Covid-19 Cases Worldwide,Other: Model Building|Other: Model validation,https://ClinicalTrials.gov/show/NCT04460274
18,Hyperbaric Oxygen Therapy (HBOT) as a Treatment for COVID-19 (COVID-19) Infection,Device: Hyperbaric Oxygen Therapy,https://ClinicalTrials.gov/show/NCT04343183
19,Study to Evaluate the Safety and Efficacy of a Single Dose of STI-2020 (COVI-AMG™) to Treat COVID-19,Biological: COVI-AMG|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04738175
20,Community Pharmacists Behaviour During Covid-19,,https://ClinicalTrials.gov/show/NCT04374513
21,Study to Evaluate a Single Dose of STI-2020 (COVI-AMG™) in Hospitalized Adults With COVID-19,Biological: COVI-AMG|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04771351
22,Safety and Efficacy of Tramadol in COVID-19 Egyptian Patients,Drug: Tramadol|Other: Standard care delivered in the isolation hospitals.,https://ClinicalTrials.gov/show/NCT04454307
